City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Pochutla,MX,15.7432,-96.4661,88.83,40,72,12.48,broken clouds
1,Kihei,US,20.785,-156.4656,87.82,51,20,13.8,few clouds
2,Kodiak,US,57.79,-152.4072,47.71,76,100,17.27,overcast clouds
3,Mount Gambier,AU,-37.8333,140.7667,40.91,100,13,0.0,few clouds
4,Kapaa,US,22.0752,-159.319,80.58,78,20,9.22,light rain
5,Vaini,TO,-21.2,-175.2,80.76,78,20,6.91,few clouds
6,Plettenberg Bay,ZA,-34.0527,23.3716,56.43,80,88,6.87,light rain
7,Khasan,RU,42.4308,130.6434,55.49,78,28,2.75,scattered clouds
8,Tingi,TZ,-11.3,35.0333,61.47,95,63,4.61,broken clouds
9,Dolores,AR,-36.3132,-57.6792,53.11,64,97,5.97,overcast clouds
10,Guarapari,BR,-20.6667,-40.4975,68.31,68,0,7.76,clear sky
11,Alyangula,AU,-13.8483,136.4192,80.15,71,0,13.94,clear sky
12,Mataura,NZ,-46.1927,168.8643,46.47,91,99,13.42,light rain
13,Lata,PT,40.1629,-8.3327,71.58,50,100,3.27,overcast clouds
14,Yellowknife,CA,62.456,-114.3525,61.32,18,75,12.66,broken clouds
15,Butaritari,KI,3.0707,172.7902,81.14,72,20,17.4,few clouds
16,Bluff,NZ,-46.6,168.3333,46.8,77,97,33.02,overcast clouds
17,Lapithos,CY,35.3375,33.1792,64.69,50,0,6.22,clear sky
18,Jamestown,US,42.097,-79.2353,78.39,80,75,12.66,broken clouds
19,Mendoza,AR,-32.8908,-68.8272,56.73,51,77,2.3,broken clouds
20,Ushuaia,AR,-54.8,-68.3,44.26,70,20,5.75,few clouds
21,Vao,NC,-22.6667,167.4833,74.01,88,100,29.26,overcast clouds
22,Nome,US,64.5011,-165.4064,64.47,35,0,21.85,clear sky
23,Sioux Lookout,CA,50.1001,-91.917,35.67,93,100,10.36,light shower sleet
24,Rikitea,PF,-23.1203,-134.9692,73.29,78,100,3.71,light rain
25,Punta Arenas,CL,-53.15,-70.9167,42.91,87,100,8.05,light rain
26,Riberalta,BO,-10.9833,-66.1,80.8,41,26,0.0,scattered clouds
27,Cherskiy,RU,68.75,161.3,52.77,46,8,15.86,clear sky
28,Lichinga,MZ,-13.3128,35.2406,57.43,96,100,5.7,overcast clouds
29,Russell,US,32.3502,-85.1999,83.8,57,0,4.61,clear sky
30,Beloha,MG,-25.1667,45.05,69.17,50,77,5.88,broken clouds
31,Caravelas,BR,-17.7125,-39.2481,68.49,68,2,6.55,clear sky
32,Dikson,RU,73.5069,80.5464,27.79,88,100,5.39,overcast clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,85.6,44,0,11.5,clear sky
34,Narsaq,GL,60.9167,-46.05,52.02,71,19,5.46,few clouds
35,Cape Town,ZA,-33.9258,18.4232,55.11,87,20,1.14,few clouds
36,Iqaluit,CA,63.7506,-68.5145,29.93,86,100,10.36,light snow
37,Ahipara,NZ,-35.1667,173.1667,59.41,62,99,14.5,overcast clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,82,20,16.11,mist
39,Jijiga,ET,9.35,42.8,66.69,53,100,7.49,overcast clouds
40,Qaanaaq,GL,77.484,-69.3632,16.29,84,24,1.79,few clouds
41,Ola,RU,59.5833,151.2833,39.15,97,100,20.04,light rain
42,Touros,BR,-5.1989,-35.4608,78.94,82,75,7.38,broken clouds
43,Bathsheba,BB,13.2167,-59.5167,83.01,74,20,19.57,few clouds
44,Torbay,CA,47.6666,-52.7314,49.87,64,75,11.5,broken clouds
45,Provideniya,RU,64.3833,-173.3,47.7,56,35,10.45,scattered clouds
46,Bredasdorp,ZA,-34.5322,20.0403,50.95,79,6,4.88,clear sky
47,Magnolia,US,33.2671,-93.2393,89.29,30,0,11.54,clear sky
48,Deputatskiy,RU,69.3,139.9,30.2,100,100,0.56,light snow
49,Attur,IN,11.6,78.6167,77.56,81,62,6.93,broken clouds
50,Victoria,HK,22.2855,114.1577,78.33,82,16,3.0,few clouds
51,Sandi,IN,27.3,79.95,91.08,23,68,5.21,broken clouds
52,Palembang,ID,-2.9167,104.7458,78.89,89,20,0.0,few clouds
53,Port Macquarie,AU,-31.4333,152.9167,58.89,81,98,7.38,overcast clouds
54,Grindavik,IS,63.8424,-22.4338,52.27,76,75,8.05,broken clouds
55,Yar-Sale,RU,66.8333,70.8333,33.13,89,100,20.31,light snow
56,Albany,US,42.6001,-73.9662,75.63,65,99,5.99,overcast clouds
57,Hermanus,ZA,-34.4187,19.2345,57.87,69,65,1.68,broken clouds
58,Port Alfred,ZA,-33.5906,26.891,61.88,70,100,4.45,overcast clouds
59,Husavik,IS,66.0449,-17.3389,50.23,71,89,4.23,overcast clouds
60,Salalah,OM,17.0151,54.0924,84.29,84,75,4.61,broken clouds
61,Sao Filipe,CV,14.8961,-24.4956,73.62,73,79,10.02,broken clouds
62,Lorengau,PG,-2.0226,147.2712,82.38,78,94,10.33,light rain
63,Tiksi,RU,71.6872,128.8694,31.71,84,100,7.34,overcast clouds
64,Haines Junction,CA,60.7522,-137.5108,58.95,31,4,2.3,clear sky
65,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,70,75,9.22,broken clouds
66,Mabopane,ZA,-25.4977,28.1007,57.67,85,100,5.35,light rain
67,Hobart,AU,-42.8794,147.3294,42.26,93,75,8.05,broken clouds
68,Busselton,AU,-33.65,115.3333,55.63,82,4,9.15,clear sky
69,Laguna De Duero,ES,41.5815,-4.7233,72.95,64,0,4.61,clear sky
70,Northam,GB,51.0333,-4.2167,53.62,90,8,13.82,clear sky
71,Evensk,RU,61.95,159.2333,42.22,73,68,11.34,broken clouds
72,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,93,40,16.11,scattered clouds
73,Saskylakh,RU,71.9167,114.0833,31.01,86,100,4.03,overcast clouds
74,Hasaki,JP,35.7333,140.8333,68.29,74,100,9.04,overcast clouds
75,Lumeje,AO,-11.55,20.7833,64.83,46,0,0.76,clear sky
76,Pangnirtung,CA,66.1451,-65.7125,35.49,86,100,1.5,overcast clouds
77,Flinders,AU,-34.5833,150.8552,55.38,92,97,4.0,light rain
78,Verkh-Usugli,RU,52.7,115.1667,49.75,44,9,2.24,clear sky
79,Labuhan,ID,-6.8844,112.2051,77.0,88,100,6.78,light rain
80,Mahebourg,MU,-20.4081,57.7,75.25,83,40,6.91,scattered clouds
81,La Ronge,CA,55.1001,-105.2842,50.25,23,75,17.27,broken clouds
82,Aban,RU,56.67,96.06,52.93,55,18,5.84,few clouds
83,Clarence Town,AU,-32.5833,151.7833,57.85,93,90,1.45,light rain
84,Upernavik,GL,72.7868,-56.1549,28.72,83,68,11.03,broken clouds
85,Lodja,CD,-3.4833,23.4333,73.26,82,100,2.75,overcast clouds
86,Takoradi,GH,4.8845,-1.7554,79.21,84,100,10.67,moderate rain
87,Dale,US,38.1689,-86.99,89.31,45,0,20.71,clear sky
88,Derac,HT,19.65,-71.8167,84.33,70,81,11.61,broken clouds
89,Bubaque,GW,11.2833,-15.8333,79.2,80,6,18.21,clear sky
90,Tura,IN,25.5198,90.2201,71.28,96,90,2.51,light rain
91,Nola,IT,40.922,14.5329,67.62,63,19,2.28,few clouds
92,Elko,US,41.0002,-115.5012,55.42,20,76,8.01,broken clouds
93,Castro,BR,-24.7911,-50.0119,46.63,80,0,3.31,clear sky
94,Ventspils,LV,57.3894,21.5606,46.33,100,100,9.22,overcast clouds
95,Chateauroux,FR,46.8167,1.7,59.0,94,100,5.75,overcast clouds
96,Marshfield,US,44.6689,-90.1718,64.35,48,0,13.8,clear sky
97,Port Elizabeth,ZA,-33.918,25.5701,56.32,96,100,6.91,overcast clouds
98,Lebu,CL,-37.6167,-73.65,52.52,89,23,6.64,few clouds
99,Galle,LK,6.0367,80.217,78.85,88,27,10.49,scattered clouds
100,Klaksvik,FO,62.2266,-6.589,49.12,97,100,16.04,overcast clouds
101,Avarua,CK,-21.2078,-159.775,82.45,65,40,8.05,scattered clouds
102,Troitsko-Pechorsk,RU,62.7084,56.1964,34.02,76,100,10.47,overcast clouds
103,Zhumadian,CN,32.9794,114.0294,62.31,72,7,3.91,clear sky
104,Cape Canaveral,US,28.4058,-80.6048,82.47,78,20,16.11,few clouds
105,Taoudenni,ML,22.6783,-3.9836,98.2,7,100,10.56,overcast clouds
106,Aklera,IN,24.4167,76.5667,88.81,39,33,20.71,scattered clouds
107,Norman Wells,CA,65.282,-126.8329,60.84,31,75,5.75,broken clouds
108,Nizhnyaya Tavda,RU,57.6731,66.1725,40.73,70,99,2.93,overcast clouds
109,New Norfolk,AU,-42.7826,147.0587,41.92,87,11,2.33,few clouds
110,Tezu,IN,27.9167,96.1667,68.38,94,81,2.8,broken clouds
111,Alofi,NU,-19.0595,-169.9187,82.29,78,28,5.75,scattered clouds
112,Berlevag,NO,70.8578,29.0864,37.35,70,100,13.8,overcast clouds
113,Richards Bay,ZA,-28.783,32.0377,68.13,87,73,11.99,moderate rain
114,Saint-Joseph,RE,-21.3667,55.6167,70.18,80,20,11.81,light rain
115,Barrow,US,71.2906,-156.7887,32.02,93,100,9.22,mist
116,Helong,CN,42.5397,128.9972,62.69,58,37,6.82,scattered clouds
117,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,47,0,11.5,clear sky
118,Ponta Do Sol,PT,32.6667,-17.1,66.83,83,47,1.72,scattered clouds
119,Anadyr,RU,64.75,177.4833,34.3,86,100,4.47,overcast clouds
120,Dawei,MM,14.0833,98.2,78.21,93,100,11.79,moderate rain
121,Bethel,US,41.3712,-73.414,70.18,82,100,3.44,overcast clouds
122,Chipinge,ZW,-20.1883,32.6236,61.38,63,45,5.44,scattered clouds
123,Solomenskoye,RU,44.2167,44.3528,51.84,72,24,17.96,few clouds
124,Tautira,PF,-17.7333,-149.15,79.41,73,11,8.61,few clouds
125,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,3.44,clear sky
126,Port Blair,IN,11.6667,92.75,82.44,83,100,9.22,mist
127,Coihaique,CL,-45.5752,-72.0662,49.95,57,100,9.22,overcast clouds
128,Te Anau,NZ,-45.4167,167.7167,43.41,88,100,5.5,overcast clouds
129,Hammerfest,NO,70.6634,23.6821,41.45,70,0,8.05,clear sky
130,Pio Xii,BR,-3.8325,-45.1525,74.41,95,99,2.19,moderate rain
131,Olinda,BR,-8.0089,-34.8553,78.53,94,75,6.91,broken clouds
132,Puerto Madryn,AR,-42.7692,-65.0385,63.28,35,27,18.72,scattered clouds
133,Rawlins,US,41.7911,-107.2387,39.09,60,20,16.11,few clouds
134,Puerto Ayora,EC,-0.7393,-90.3518,76.96,94,52,4.0,broken clouds
135,Lincoln,US,40.8,-96.667,73.31,30,0,13.8,clear sky
136,Svetlogorsk,BY,52.6333,29.7333,56.07,96,94,9.35,overcast clouds
137,Road Town,VG,18.4167,-64.6167,82.49,78,40,9.22,scattered clouds
138,Vardo,NO,70.3705,31.1107,37.38,75,100,23.02,overcast clouds
139,Douala,CM,4.0483,9.7043,77.72,89,100,4.16,light rain
140,Chulumani,BO,-16.4096,-67.5263,62.02,73,80,3.0,broken clouds
141,Floro,NO,61.5996,5.0328,54.23,87,40,8.05,scattered clouds
142,Ribeira Grande,PT,38.5167,-28.7,63.45,96,100,8.16,light rain
143,Carnarvon,AU,-24.8667,113.6333,68.16,63,0,11.97,clear sky
144,Kruisfontein,ZA,-34.0033,24.7314,53.89,84,100,5.64,light rain
145,Ilulissat,GL,69.2167,-51.1,35.62,75,40,6.91,scattered clouds
146,Houma,US,29.5958,-90.7195,88.0,75,40,16.11,scattered clouds
147,Zhezkazgan,KZ,47.8043,67.7144,61.9,35,64,8.84,broken clouds
148,Clyde River,CA,70.4692,-68.5914,25.03,80,100,8.05,overcast clouds
149,Kovur,IN,14.4833,79.9833,81.99,60,100,10.51,overcast clouds
150,Saint George,US,37.1041,-113.5841,77.63,11,0,16.11,clear sky
151,Inirida,CO,3.8653,-67.9239,75.97,97,71,1.81,broken clouds
152,Timbiqui,CO,2.7717,-77.6654,78.85,83,100,4.74,overcast clouds
153,Margate,GB,51.3813,1.3862,55.31,88,36,4.0,scattered clouds
154,Alta Floresta,BR,-9.8756,-56.0861,67.48,67,87,1.48,overcast clouds
155,Georgetown,MY,5.4112,100.3354,80.53,89,20,3.44,few clouds
156,Giurgiu,RO,43.8833,25.9667,59.65,58,60,7.31,broken clouds
157,Atuona,PF,-9.8,-139.0333,77.65,67,0,10.74,clear sky
158,Xining,CN,36.6167,101.7667,51.8,74,100,1.74,overcast clouds
159,Muyezerskiy,RU,63.9333,31.65,35.38,79,70,4.74,broken clouds
160,Kahului,US,20.8947,-156.47,87.82,51,20,13.8,few clouds
161,Mossendjo,CG,-2.9506,12.7261,69.66,98,100,5.26,overcast clouds
162,Berdigestyakh,RU,62.0989,126.6992,43.59,68,2,4.18,clear sky
163,Velasco Ibarra,EC,-1.05,-79.6167,79.02,84,98,5.77,moderate rain
164,Hithadhoo,MV,-0.6,73.0833,82.67,73,68,9.08,broken clouds
165,Bengkulu,ID,-3.8004,102.2655,75.69,87,80,4.05,broken clouds
166,Kununurra,AU,-15.7667,128.7333,75.18,50,1,5.75,clear sky
167,Obo,CF,5.3998,26.4869,68.11,98,100,2.59,light rain
168,Liaocheng,CN,36.4439,115.9647,65.57,58,0,7.45,clear sky
169,Valley City,US,46.9233,-98.0032,43.32,81,100,17.27,overcast clouds
170,Hilo,US,19.7297,-155.09,91.27,79,40,12.66,scattered clouds
171,Chuy,UY,-33.6971,-53.4616,52.25,76,26,5.66,scattered clouds
172,Naze,JP,28.3667,129.4833,74.32,91,100,16.17,light rain
173,Constitucion,CL,-35.3333,-72.4167,53.42,84,0,6.64,clear sky
174,Lagoa,PT,39.05,-27.9833,61.7,92,100,13.04,overcast clouds
175,Linguere,SN,15.3953,-15.1193,93.42,38,0,13.8,clear sky
176,Saint-Prosper,CA,46.2117,-70.4811,62.89,62,100,10.69,overcast clouds
177,Soyo,AO,-6.1349,12.3689,75.54,84,2,8.05,clear sky
178,Sitka,US,57.0531,-135.33,57.09,62,0,4.61,clear sky
179,Bang Mun Nak,TH,16.0278,100.3792,77.92,82,100,9.51,overcast clouds
180,Kiama,AU,-34.6833,150.8667,64.99,91,96,1.99,overcast clouds
181,Borba,BR,-4.3878,-59.5939,75.92,76,59,1.57,broken clouds
182,Klyavlino,RU,54.2649,52.0267,38.53,93,99,10.71,overcast clouds
183,Zeya,RU,53.75,127.2667,51.75,60,14,5.06,few clouds
184,Khatanga,RU,71.9667,102.5,33.21,80,100,10.2,overcast clouds
185,Upata,VE,8.0086,-62.3989,83.19,48,45,7.65,scattered clouds
186,Karratha,AU,-20.7377,116.8463,74.73,72,41,5.41,scattered clouds
187,Geraldton,AU,-28.7667,114.6,52.21,93,0,8.05,clear sky
188,Areosa,PT,41.7178,-8.8571,68.81,64,95,8.86,overcast clouds
189,Kaitangata,NZ,-46.2817,169.8464,45.82,80,74,20.45,broken clouds
190,Westport,US,41.1415,-73.3579,67.62,64,79,8.61,moderate rain
191,Zaraza,VE,9.3503,-65.3245,86.22,50,18,12.68,few clouds
192,Airai,TL,-8.9266,125.4092,57.43,88,45,4.05,scattered clouds
193,Saint-Philippe,RE,-21.3585,55.7679,71.19,83,39,11.36,light rain
194,East London,ZA,-33.0153,27.9116,61.39,73,100,9.89,overcast clouds
195,Mar Del Plata,AR,-38.0023,-57.5575,57.94,72,0,11.5,clear sky
196,Iberia,US,29.9502,-91.7507,90.05,62,0,16.11,clear sky
197,Isabela,PH,6.7085,121.9711,77.05,83,100,5.12,light rain
198,Marand,IR,38.4329,45.7749,47.93,54,54,9.84,broken clouds
199,Luena,AO,-11.7833,19.9167,58.75,58,0,1.07,clear sky
200,Nizwa,OM,22.9333,57.5333,85.96,22,3,2.59,clear sky
201,Srednekolymsk,RU,67.45,153.6833,54.99,46,58,11.95,broken clouds
202,Ketchikan,US,55.3422,-131.6461,62.58,55,20,9.22,few clouds
203,Ondjiva,AO,-17.0667,15.7333,57.67,30,0,7.67,clear sky
204,Nikolskoye,RU,59.7035,30.7861,42.69,73,98,5.95,overcast clouds
205,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.89,72,28,11.5,scattered clouds
206,Zalantun,CN,48.0,122.7167,56.32,54,32,7.11,scattered clouds
207,Najran,SA,17.4924,44.1277,74.53,14,3,2.15,clear sky
208,San Jose,US,37.3394,-121.895,82.89,21,20,16.11,few clouds
209,Nanortalik,GL,60.1432,-45.2371,38.28,82,38,5.5,scattered clouds
210,Mehamn,NO,71.0357,27.8492,37.31,79,99,15.84,overcast clouds
211,Monrovia,LR,6.3005,-10.7969,78.1,87,100,10.96,light rain
212,Moose Factory,CA,51.2585,-80.6094,59.0,94,100,11.5,overcast clouds
213,Tasiilaq,GL,65.6145,-37.6368,37.56,71,16,4.52,few clouds
214,Fremont,US,37.5483,-121.9886,83.59,25,0,20.71,clear sky
215,Nelson Bay,AU,-32.7167,152.15,57.99,98,63,11.18,moderate rain
216,Honiara,SB,-9.4333,159.95,82.33,74,2,2.84,clear sky
217,Buala,SB,-8.145,159.5921,83.1,72,8,3.27,clear sky
218,Cidreira,BR,-30.1811,-50.2056,56.82,75,0,4.5,clear sky
219,Vaitape,PF,-16.5167,-151.75,80.33,72,18,9.6,few clouds
220,Leningradskiy,RU,69.3833,178.4167,33.49,98,28,7.14,scattered clouds
221,El Grullo,MX,19.8,-104.2167,94.14,20,3,9.57,clear sky
222,Ostrovnoy,RU,68.0531,39.5131,31.06,67,94,6.35,overcast clouds
223,Mayumba,GA,-3.432,10.6554,76.86,87,100,6.31,overcast clouds
224,Tianpeng,CN,30.9866,103.9393,70.72,79,100,0.69,overcast clouds
225,Buraydah,SA,26.326,43.975,88.25,11,0,13.6,clear sky
226,Khor,RU,47.8861,134.9464,57.65,76,100,3.91,overcast clouds
227,Pisco,PE,-13.7,-76.2167,68.05,73,0,13.8,clear sky
228,Palmer,US,42.1584,-72.3287,74.5,66,75,14.97,broken clouds
229,Faya,SA,18.3851,42.4509,68.52,15,1,7.7,clear sky
